subset,approach,qtrmi_s,hvhsz_s,agfb_s,hbrn_s,slope_s,hwui_s,fbfm_s,avg,min,max,top500,utilbp_qtrmi_s_0,utilbp_qtrmi_s_1,utilbp_qtrmi_s_2,utilbp_qtrmi_s_3,utilbp_qtrmi_s_4,utilbp_hvhsz_s_0,utilbp_hvhsz_s_1,utilbp_hvhsz_s_2,utilbp_hvhsz_s_3,utilbp_hvhsz_s_4,utilbp_agfb_s_0,utilbp_agfb_s_1,utilbp_agfb_s_2,utilbp_agfb_s_3,utilbp_agfb_s_4,utilbp_hbrn_s_0,utilbp_hbrn_s_1,utilbp_hbrn_s_2,utilbp_hbrn_s_3,utilbp_hbrn_s_4,utilbp_slope_s_0,utilbp_slope_s_1,utilbp_slope_s_2,utilbp_slope_s_3,utilbp_slope_s_4,utilbp_hwui_s_0,utilbp_hwui_s_1,utilbp_hwui_s_2,utilbp_hwui_s_3,utilbp_hwui_s_4,utilbp_fbfm_s_0,utilbp_fbfm_s_1,utilbp_fbfm_s_2,utilbp_fbfm_s_3,utilbp_fbfm_s_4
parcels_subset,piecewise,0.5471396672571913,0.0010000000000000154,0.0,0.019339169270605895,0.001583755560343698,0.0,0.430937407911859,2194.176470588235,81,6119,2,0.0,0.0,0.0,0.0,0.5471396672571913,0.0,0.0,0.0,0.0010000000000000154,0.0010000000000000154,0.0,0.0,0.0,0.0,0.0,0.0,0.019339169270605895,0.019339169270605895,0.019339169270605895,0.019339169270605895,0.0,0.001583755560343698,0.001583755560343698,0.001583755560343698,0.001583755560343698,0.0,0.0,0.0,0.0,0.0,0.0,0.430937407911859,0.430937407911859,0.430937407911859,0.430937407911859
parcels_subset,linear,0.18385070140752005,0.11421731570981049,0.0,0.4671789930160856,0.07002308534637217,0.0,0.16472990452021172,3674.0588235294117,179,11287,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subset_1,piecewise,0.009017996599823271,0.0,0.030176176074260288,0.9542843049904813,0.0,0.005552615352763989,0.0009689069826711375,25.764705882352942,5,80,17,0.0,0.009017996599823271,0.009017996599823271,,,0.0,0.0,0.0,,,0.0,0.0,0.030176176074260288,,,0.0,0.9494209036183395,0.9542843049904813,,,0.0,0.0,0.0,,,0.0,0.0010767515653627255,0.005552615352763989,,,0.0,0.0009689069826711375,0.0009689069826711375,,
subset_1,linear,0.04625039091839502,0.0,0.711953773508743,0.17616884472472807,0.0,0.0656269908481339,0.0,29.941176470588236,7,86,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subset_2,piecewise,0.003163790344711772,0.3812157518182017,0.2418145795343624,0.0006018093420885041,0.002548221908765776,0.37005035300590594,0.0006054940459637462,899.0833333333334,159,2636,11,0.0,0.003163790344711772,0.003163790344711772,0.003163790344711772,0.003163790344711772,0.0,0.37998056341038716,0.3812157518182017,0.3812157518182017,0.3812157518182017,0.0,0.0,0.2418145795343624,0.2418145795343624,0.2418145795343624,0.0,0.0006018093420885041,0.0006018093420885041,0.0006018093420885041,0.0006018093420885041,0.0,0.002548221908765776,0.002548221908765776,0.002548221908765776,0.002548221908765776,0.0,0.0,0.0,0.37005035300590594,0.37005035300590594,0.0,0.0006054940459637462,0.0006054940459637462,0.0006054940459637462,0.0006054940459637462
subset_2,linear,0.16080888067363527,0.30511733089019,0.11316599252951645,0.0,0.12659960093335604,0.2943081949733022,0.0,2520.5,853,4530,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subset_3,piecewise,0.004240856862771364,0.0012764574040851294,0.99213139228759,0.0,0.0004372205251684612,0.00024694784563623337,0.0016671250747488508,14369.5,563,37062,0,0.0,0.002788014200805743,0.004164391459510015,0.004240856862771364,0.004240856862771364,0.0,0.0,0.0012764574040851294,0.0012764574040851294,0.0012764574040851294,0.0,0.9914808559689998,0.99213139228759,0.99213139228759,0.99213139228759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004372205251684612,0.0004372205251684612,0.0004372205251684612,0.0,0.0,0.0,0.0,0.00024694784563623337,0.0,0.0,0.0016671250747488508,0.0016671250747488508,0.0016671250747488508
subset_3,linear,0.3466460814862967,0.024967389725156438,0.04771077497947415,0.44990739130032725,0.04043565383907371,0.0,0.09033270866967157,17734.041666666668,2288,47043,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subset_4,piecewise,0.00687755968462018,0.0,0.670849093840021,0.0,0.008080491522773174,0.31394924848081085,0.00024360647177479206,65.88372093023256,2,242,43,0.0,0.003237951381793305,0.003237951381793305,0.00687755968462018,,0.0,0.0,0.0,0.0,,0.0,0.6695105174117219,0.6707709131075645,0.670849093840021,,0.0,0.0,0.0,0.0,,0.0,0.0,0.008080491522773174,0.008080491522773174,,0.0,0.0,0.3137452569323438,0.31394924848081085,,0.0,0.00024360647177479206,0.00024360647177479206,0.00024360647177479206,
subset_4,linear,0.2434580319367952,0.0,0.06975656139299918,0.0,0.4801659000571199,0.19627097852665065,0.010348528086435077,139.69767441860466,7,742,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
