Subset,Approach,AvgRank,MinRank,MaxRank,Top500,DominantCriterion,DominantWeight,SecondCriterion,SecondWeight
parcels_subset,Piecewise,2194.176470588235,81,6119,2,qtrmi_s,0.5471396672571913,fbfm_s,0.430937407911859
parcels_subset,Linear,3674.0588235294117,179,11287,2,hbrn_s,0.4671789930160856,qtrmi_s,0.18385070140752005
subset_1,Piecewise,25.764705882352942,5,80,17,hbrn_s,0.9542843049904813,agfb_s,0.030176176074260288
subset_1,Linear,29.941176470588236,7,86,17,agfb_s,0.711953773508743,hbrn_s,0.17616884472472807
subset_2,Piecewise,899.0833333333334,159,2636,11,hvhsz_s,0.3812157518182017,hwui_s,0.37005035300590594
subset_2,Linear,2520.5,853,4530,0,hvhsz_s,0.30511733089019,hwui_s,0.2943081949733022
subset_3,Piecewise,14369.5,563,37062,0,agfb_s,0.99213139228759,qtrmi_s,0.004240856862771364
subset_3,Linear,17734.041666666668,2288,47043,0,hbrn_s,0.44990739130032725,qtrmi_s,0.3466460814862967
subset_4,Piecewise,65.88372093023256,2,242,43,agfb_s,0.670849093840021,hwui_s,0.31394924848081085
subset_4,Linear,139.69767441860466,7,742,42,slope_s,0.4801659000571199,qtrmi_s,0.2434580319367952
subset_5,Piecewise,205.74358974358975,7,423,39,qtrmi_s,0.9798744966455069,agfb_s,0.013058066513197302
subset_5,Linear,236.51282051282053,1,836,33,qtrmi_s,0.5293735957803206,hvhsz_s,0.2890224714154898
subset_6,Piecewise,1788.5833333333333,59,4003,5,agfb_s,0.9944359496082795,fbfm_s,0.0032439358392370474
subset_6,Linear,3410.8333333333335,437,9393,1,agfb_s,0.5702608532948148,fbfm_s,0.22412092344704215
subset_7,Piecewise,156.47058823529412,24,424,17,hwui_s,0.9714385784641281,agfb_s,0.012731236924881355
subset_7,Linear,616.4705882352941,149,2071,11,hwui_s,0.45451492215851585,hbrn_s,0.22057856086918662
subset_8,Piecewise,2334.4285714285716,1712,3202,0,agfb_s,0.5349391069549416,hwui_s,0.46213573007601916
subset_8,Linear,5046.619047619048,2979,8531,0,hwui_s,0.5633451278987551,hbrn_s,0.40049865242093496
subset_9,Piecewise,13428.684210526315,8395,15993,0,agfb_s,0.562276248997878,hwui_s,0.437723751002122
subset_9,Linear,22571.394736842107,22178,23124,0,hbrn_s,0.42033085134216885,hwui_s,0.2923967603175322
